#Wave,#Intensity
899.91423626456,464
899.805189010859,460
899.696138825099,464
899.58708570773,458
899.478029659201,457
899.368970679961,462
899.259908770459,457
899.150843931146,460
899.04177616247,458
898.932705464882,460
898.823631838829,466
898.714555284763,461
898.605475803131,462
898.496393394384,462
898.387308058971,464
898.278219797342,460
898.169128609945,458
898.06003449723,464
897.950937459647,465
897.841837497646,458
897.732734611674,470
897.623628802182,461
897.51452006962,465
897.405408414436,466
897.29629383708,458
897.187176338002,464
897.078055917651,461
896.968932576476,460
896.859806314927,461
896.750677133452,463
896.641545032503,470
896.532410012527,460
896.423272073975,464
896.314131217295,462
896.204987442937,465
896.095840751351,462
895.986691142987,457
895.877538618292,466
895.768383177717,466
895.659224821711,467
895.550063550725,460
895.440899365205,465
895.331732265604,463
895.222562252369,466
895.113389325951,465
895.004213486798,460
894.89503473536,461
894.785853072087,463
894.676668497427,460
894.567481011831,465
894.458290615748,461
894.349097309627,466
894.239901093917,467
894.130701969068,468
894.02149993553,467
893.912294993751,460
893.803087144181,465
893.69387638727,464
893.584662723467,463
893.475446153221,472
893.366226676982,470
893.2570042952,466
893.147779008322,467
893.0385508168,468
892.929319721082,461
892.820085721619,467
892.710848818858,469
892.60160901325,466
892.492366305244,469
892.38312069529,461
892.273872183836,467
892.164620771333,468
892.055366458229,456
891.946109244975,459
891.836849132019,461
891.727586119811,463
891.6183202088,467
891.509051399436,463
891.399779692168,464
891.290505087446,470
891.181227585719,466
891.071947187436,469
890.962663893046,463
890.853377703001,469
890.744088617747,466
890.634796637736,467
890.525501763416,466
890.416203995237,466
890.306903333648,470
890.197599779099,463
890.088293332038,460
889.978983992917,471
889.869671762183,466
889.760356640286,469
889.651038627676,461
889.541717724803,465
889.432393932114,467
889.323067250061,464
889.213737679092,473
889.104405219656,470
888.995069872204,469
888.885731637185,467
888.776390515047,469
888.667046506241,465
888.557699611215,469
888.44834983042,469
888.338997164304,469
888.229641613318,474
888.120283177909,470
888.010921858529,466
887.901557655625,473
887.792190569649,472
887.682820601048,474
887.573447750273,461
887.464072017773,468
887.354693403997,471
887.245311909395,472
887.135927534415,469
887.026540279509,472
886.917150145124,463
886.807757131711,474
886.698361239718,473
886.588962469595,468
886.479560821792,475
886.370156296758,469
886.260748894942,474
886.151338616795,467
886.041925462764,475
885.9325094333,462
885.823090528851,478
885.713668749869,482
885.604244096801,474
885.494816570097,475
885.385386170207,478
885.27595289758,473
885.166516752665,477
885.057077735913,470
884.947635847771,476
884.83819108869,473
884.72874345912,476
884.619292959508,474
884.509839590306,480
884.400383351962,478
884.290924244926,479
884.181462269647,480
884.071997426574,474
883.962529716158,475
883.853059138846,479
883.74358569509,478
883.634109385338,475
883.524630210039,478
883.415148169643,469
883.3056632646,477
883.196175495358,475
883.086684862368,466
882.977191366078,476
882.867695006939,479
882.758195785399,474
882.648693701907,474
882.539188756914,472
882.429680950869,480
882.320170284221,480
882.210656757419,478
882.101140370913,476
881.991621125152,482
881.882099020586,480
881.772574057665,484
881.663046236837,476
881.553515558551,487
881.443982023258,486
881.334445631407,477
881.224906383447,487
881.115364279828,492
881.005819320999,485
880.896271507409,480
880.786720839507,482
880.677167317745,478
880.567610942569,481
880.458051714431,487
880.348489633779,491
880.238924701063,476
880.129356916732,486
880.019786281236,482
879.910212795024,490
879.800636458546,483
879.69105727225,490
879.581475236587,483
879.471890352005,488
879.362302618955,485
879.252712037885,487
879.143118609245,493
879.033522333484,495
878.923923211052,490
878.814321242399,487
878.704716427973,488
878.595108768223,490
878.485498263601,487
878.375884914554,492
878.266268721532,487
878.156649684985,491
878.047027805362,497
877.937403083112,487
877.827775518685,494
877.718145112531,496
877.608511865098,488
877.498875776836,498
877.389236848195,489
877.279595079623,484
877.169950471571,495
877.060303024488,496
876.950652738823,496
876.840999615025,496
876.731343653544,497
876.62168485483,493
876.512023219331,495
876.402358747497,486
876.292691439778,499
876.183021296623,490
876.073348318482,502
875.963672505803,500
875.853993859036,505
875.744312378631,494
875.634628065037,499
875.524940918704,497
875.41525094008,504
875.305558129616,499
875.19586248776,499
875.086164014962,501
874.976462711672,496
874.866758578339,507
874.757051615412,518
874.64734182334,496
874.537629202574,504
874.427913753562,497
874.318195476755,501
874.2084743726,503
874.098750441549,503
873.989023684049,506
873.879294100551,518
873.769561691504,512
873.659826457357,499
873.550088398561,505
873.440347515563,507
873.330603808814,504
873.220857278763,506
873.11110792586,506
873.001355750553,503
872.891600753293,513
872.781842934528,512
872.672082294708,519
872.562318834283,510
872.452552553702,504
872.342783453414,516
872.233011533868,512
872.123236795515,514
872.013459238803,515
871.903678864182,518
871.793895672102,513
871.684109663011,514
871.57432083736,507
871.464529195597,518
871.354734738172,509
871.244937465534,518
871.135137378133,520
871.025334476418,526
870.915528760839,513
870.805720231845,509
870.695908889886,530
870.58609473541,525
870.476277768867,517
870.366457990708,521
870.25663540138,520
870.146810001333,537
870.036981791018,525
869.927150770883,525
869.817316941377,513
869.707480302951,536
869.597640856053,521
869.487798601133,538
869.37795353864,518
869.268105669025,527
869.158254992735,526
869.048401510221,526
868.938545221931,535
868.828686128317,546
868.718824229826,536
868.608959526908,523
868.499092020013,538
868.389221709589,532
868.279348596088,535
868.169472679957,541
868.059593961646,544
867.949712441605,540
867.839828120283,558
867.729940998129,553
867.620051075594,536
867.510158353125,547
867.400262831173,545
867.290364510188,543
867.180463390618,530
867.070559472913,549
866.960652757522,539
866.850743244894,538
866.74083093548,535
866.630915829729,533
866.52099792809,554
866.411077231012,550
866.301153738944,544
866.191227452337,544
866.08129837164,552
865.971366497301,547
865.861431829771,555
865.751494369499,563
865.641554116934,558
865.531611072525,542
865.421665236723,558
865.311716609976,554
865.201765192734,554
865.091810985446,554
864.981853988562,566
864.871894202531,559
864.761931627803,565
864.651966264826,549
864.541998114051,562
864.432027175927,565
864.322053450902,570
864.212076939428,564
864.102097641952,567
863.992115558924,573
863.882130690794,572
863.772143038012,575
863.662152601026,576
863.552159380286,573
863.442163376242,568
863.332164589342,574
863.222163020037,575
863.112158668775,580
863.002151536006,570
862.89214162218,589
862.782128927745,585
