#Wave,#Intensity
812.444994707634,6576
812.333760882497,6749
812.222524482133,6889
812.111285506989,6814
812.000043957516,6909
811.888799834163,7095
811.777553137379,7059
811.666303867615,7124
811.555052025318,7114
811.443797610939,7206
811.332540624926,7247
811.221281067731,7300
811.110018939801,7419
810.998754241586,7384
810.887486973536,7600
810.7762171361,7640
810.664944729727,7631
810.553669754868,7739
810.44239221197,7789
810.331112101484,7809
810.21982942386,7865
810.108544179545,7933
809.997256368991,8026
809.885965992646,8065
809.77467305096,8125
809.663377544382,8195
809.552079473361,8263
809.440778838347,8348
809.32947563979,8387
809.218169878138,8467
809.106861553842,8543
808.99555066735,8496
808.884237219112,8650
808.772921209578,8756
808.661602639196,8866
808.550281508417,8948
808.438957817689,8971
808.327631567462,8961
808.216302758186,9097
808.10497139031,9101
807.993637464282,9287
807.882300980554,9401
807.770961939573,9313
807.65962034179,9471
807.548276187654,9539
807.436929477615,9676
807.325580212121,9704
807.214228391622,9815
807.102874016567,9871
806.991517087407,9929
806.88015760459,10014
806.768795568565,10126
806.657430979783,10163
806.546063838693,10337
806.434694145743,10203
806.323321901384,10219
806.211947106064,10436
806.100569760234,10372
805.989189864343,10637
805.877807418839,10714
805.766422424173,10658
805.655034880793,10790
805.543644789151,11007
805.432252149693,10940
805.320856962871,11035
805.209459229133,11172
805.098058948929,11186
804.986656122709,11332
804.875250750921,11264
804.763842834015,11469
804.652432372441,11374
804.541019366647,11740
804.429603817084,11710
804.318185724201,11772
804.206765088447,11896
804.095341910272,12004
803.983916190124,12021
803.872487928454,12195
803.761057125711,12437
803.649623782344,12304
803.538187898802,12413
803.426749475536,12570
803.315308512994,12379
803.203865011626,12719
803.092418971881,12699
802.980970394208,12873
802.869519279058,13054
802.758065626879,12866
802.646609438122,13132
802.535150713234,13234
802.423689452666,13260
802.312225656867,13335
802.200759326287,13443
802.089290461375,13572
801.97781906258,13688
801.866345130352,13714
801.75486866514,13885
801.643389667393,13875
801.531908137562,14116
801.420424076095,14067
801.308937483441,14211
801.197448360051,14341
801.085956706374,14251
800.974462522858,14372
800.862965809954,14505
800.751466568111,14575
800.639964797778,14945
800.528460499405,14911
800.416953673441,14991
800.305444320335,15003
800.193932440537,15095
800.082418034497,15206
799.970901102663,15431
799.859381645485,15504
799.747859663412,15380
799.636335156895,15511
799.524808126382,15657
799.413278572323,15619
799.301746495167,15958
799.190211895363,15993
799.078674773362,16015
798.967135129612,16123
798.855592964562,16337
798.744048278663,16265
798.632501072363,16452
798.520951346113,16474
798.40939910036,16658
798.297844335556,16693
798.186287052149,16642
798.074727250589,16922
797.963164931324,17022
797.851600094805,16939
797.740032741482,17191
797.628462871802,17152
797.516890486216,17119
797.405315585173,17257
797.293738169122,17453
797.182158238514,17261
797.070575793797,17421
796.95899083542,17426
796.847403363834,17523
796.735813379487,17740
796.624220882829,17667
796.51262587431,17811
796.401028354378,17866
796.289428323484,17875
796.177825782076,18104
796.066220730604,18095
795.954613169518,18070
795.843003099267,18267
795.731390520299,18379
795.619775433066,18313
795.508157838015,18315
