#Wave,#Intensity
864.541998114051,572
864.432027175927,579
864.322053450902,575
864.212076939428,567
864.102097641952,567
863.992115558924,583
863.882130690794,571
863.772143038012,570
863.662152601026,567
863.552159380286,576
863.442163376242,564
863.332164589342,583
863.222163020037,576
863.112158668775,573
863.002151536006,586
862.89214162218,565
862.782128927745,568
862.672113453152,582
862.56209519885,585
862.452074165287,601
862.342050352914,588
862.23202376218,585
862.121994393535,598
862.011962247427,586
861.901927324306,599
861.791889624622,591
861.681849148823,596
861.57180589736,600
861.461759870682,592
861.351711069238,596
861.241659493478,598
861.13160514385,597
861.021548020805,611
860.911488124792,607
860.80142545626,602
860.691360015659,605
860.581291803438,618
860.471220820046,594
860.361147065933,614
860.251070541548,609
860.140991247341,616
860.030909183761,624
859.920824351258,633
859.81073675028,619
859.700646381278,616
859.590553244701,620
859.480457340997,626
859.370358670617,624
859.260257234011,626
859.150153031626,624
859.040046063913,641
858.929936331322,610
858.819823834301,620
858.7097085733,620
858.599590548768,624
858.489469761155,635
858.379346210911,628
858.269219898484,630
858.159090824324,635
858.04895898888,630
857.938824392603,643
857.82868703594,647
857.718546919343,640
857.608404043259,630
857.498258408139,654
857.388110014432,640
857.277958862587,656
857.167804953054,631
857.057648286282,643
856.947488862721,660
856.837326682819,649
856.727161747027,668
856.616994055793,653
856.506823609568,660
856.3966504088,639
856.28647445394,666
856.176295745435,658
856.066114283737,669
855.955930069294,680
855.845743102555,665
855.73555338397,673
855.625360913989,686
855.515165693061,667
855.404967721635,676
855.29476700016,676
855.184563529087,672
855.074357308864,661
854.964148339941,694
854.853936622768,686
854.743722157793,697
854.633504945466,684
854.523284986237,689
854.413062280554,704
854.302836828868,699
854.192608631628,697
854.082377689283,685
853.972144002283,706
853.861907571076,699
853.751668396113,699
853.641426477843,705
853.531181816715,686
853.420934413178,695
853.310684267683,715
853.200431380678,712
853.090175752612,715
852.979917383936,715
852.869656275099,730
852.75939242655,722
852.649125838739,742
852.538856512114,734
852.428584447125,744
852.318309644222,728
852.208032103855,734
852.097751826472,733
851.987468812522,735
851.877183062457,748
851.766894576723,741
851.656603355772,731
851.546309400053,733
851.436012710015,757
851.325713286107,746
851.215411128778,753
851.105106238479,745
850.994798615659,767
850.884488260767,759
850.774175174252,772
850.663859356564,758
850.553540808152,780
850.443219529466,769
850.332895520954,771
850.222568783068,799
850.112239316255,790
850.001907120966,774
849.891572197649,796
849.781234546754,790
849.670894168731,786
849.560551064029,806
849.450205233097,792
849.339856676385,791
849.229505394342,795
849.119151387418,802
849.008794656061,805
848.898435200722,808
848.78807302185,817
848.677708119894,799
848.567340495304,821
848.456970148528,825
848.346597080017,837
848.23622129022,818
848.125842779586,850
848.015461548565,834
847.905077597606,846
847.794690927158,846
