TIME,V,I,I,pce
9.60E+00,8.70E-01,-1.18E-03,0.00118,17.7000 
9.70E+00,8.70E-01,-1.18E-03,0.00118,17.7000 
9.80E+00,8.70E-01,-1.18E-03,0.00118,17.7000 
9.90E+00,8.70E-01,-1.18E-03,0.00118,17.7000 
1.00E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.01E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.02E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.03E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.04E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.05E+01,8.70E-01,-1.18E-03,0.00118,17.7000 
1.06E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.07E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.08E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.09E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.10E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.11E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.12E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.13E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.14E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.15E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.16E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.17E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.18E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.19E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.20E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.21E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.22E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.23E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.24E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.25E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.26E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.27E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.28E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.29E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.30E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.31E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.32E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.33E+01,8.70E-01,-1.19E-03,0.00119,17.8500 
1.34E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.35E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.36E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.37E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.38E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.39E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.40E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.41E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.42E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.43E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.44E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.45E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.46E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.47E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.48E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.49E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.50E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.51E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.52E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.53E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.54E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.55E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.56E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.57E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.58E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.59E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.60E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.61E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.62E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.63E+01,8.70E-01,-1.20E-03,0.0012,18.0000 
1.64E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.65E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.66E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.67E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.68E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.69E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.70E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.71E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.72E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.73E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.74E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.75E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.76E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.77E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.78E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
