Labels,Decay28,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset,,
XAxis,Time,
YAxis,Counts,

883.789060,1.45000000E+2,
888.671880,1.14000000E+2,
893.554690,1.22000000E+2,
898.437500,1.33000000E+2,
903.320310,1.36000000E+2,
908.203130,1.27000000E+2,
913.085940,1.15000000E+2,
917.968750,1.29000000E+2,
922.851560,1.25000000E+2,
927.734380,1.28000000E+2,
932.617190,1.27000000E+2,
937.500,1.16000000E+2,
942.382810,1.31000000E+2,
947.265630,1.22000000E+2,
952.148440,1.23000000E+2,
957.031250,1.32000000E+2,
961.914060,1.27000000E+2,
966.796880,1.15000000E+2,
971.679690,1.24000000E+2,
976.562500,1.33000000E+2,
981.445310,1.24000000E+2,
986.328130,1.08000000E+2,
991.210940,1.36000000E+2,
996.093750,1.41000000E+2,
1000.976600,1.24000000E+2,
1005.859400,1.16000000E+2,
1010.742200,1.24000000E+2,
1015.625000,1.23000000E+2,
1020.507800,1.22000000E+2,
1025.390600,1.51000000E+2,
1030.273400,1.24000000E+2,
1035.156300,1.23000000E+2,
1040.039100,9.60000000E+1,
1044.921900,1.30000000E+2,
1049.804700,1.12000000E+2,
1054.687500,1.07000000E+2,
1059.57000,1.32000000E+2,
1064.453100,1.27000000E+2,
1069.335900,1.16000000E+2,
1074.218800,1.25000000E+2,
1079.101600,1.26000000E+2,
1083.984400,1.19000000E+2,
1088.867200,1.39000000E+2,
1093.75000,1.00000000E+2,
1098.632800,1.09000000E+2,
1103.515600,1.13000000E+2,
1108.398400,1.09000000E+2,
1113.281300,1.31000000E+2,
1118.164100,1.24000000E+2,
1123.046900,1.15000000E+2,
1127.93000,1.11000000E+2,
1132.812500,1.26000000E+2,
1137.695300,1.14000000E+2,
1142.578100,1.26000000E+2,
1147.460900,9.40000000E+1,
1152.343800,1.30000000E+2,
1157.226600,1.03000000E+2,
1162.109400,1.05000000E+2,
1166.992200,1.05000000E+2,
1171.875000,1.34000000E+2,
1176.757800,1.26000000E+2,
1181.640600,1.09000000E+2,
1186.523400,1.07000000E+2,
1191.406300,1.13000000E+2,
1196.289100,1.16000000E+2,
1201.171900,1.00000000E+2,
1206.054700,1.14000000E+2,
1210.937500,1.12000000E+2,
1215.82000,1.18000000E+2,
1220.703100,1.19000000E+2,
1225.585900,1.21000000E+2,
1230.468800,9.20000000E+1,
1235.351600,9.40000000E+1,
1240.234400,1.12000000E+2,
1245.117200,1.12000000E+2,
1250.00,1.01000000E+2,
1254.882800,1.05000000E+2,
1259.765600,9.50000000E+1,
1264.648400,8.50000000E+1,
1269.531300,1.06000000E+2,
1274.414100,1.02000000E+2,
1279.296900,9.50000000E+1,
1284.18000,9.50000000E+1,
1289.062500,1.02000000E+2,
1293.945300,9.60000000E+1,
1298.828100,8.20000000E+1,
1303.710900,1.17000000E+2,
1308.593800,1.13000000E+2,
1313.476600,1.14000000E+2,
1318.359400,9.80000000E+1,
1323.242200,1.02000000E+2,
1328.125000,1.02000000E+2,
1333.007800,1.01000000E+2,
1337.890600,1.06000000E+2,
1342.773400,8.60000000E+1,
1347.656300,1.04000000E+2,
1352.539100,1.03000000E+2,
1357.421900,1.00000000E+2,
1362.304700,9.20000000E+1,
1367.187500,8.50000000E+1,
1372.07000,9.50000000E+1,
1376.953100,1.16000000E+2,
1381.835900,1.12000000E+2,
1386.718800,1.11000000E+2,
1391.601600,9.40000000E+1,
1396.484400,1.07000000E+2,
1401.367200,8.60000000E+1,
1406.25000,1.01000000E+2,
1411.132800,8.80000000E+1,
1416.015600,9.30000000E+1,
1420.898400,1.06000000E+2,
1425.781300,1.02000000E+2,
1430.664100,9.40000000E+1,
1435.546900,8.20000000E+1,
1440.43000,1.04000000E+2,
1445.312500,9.60000000E+1,
1450.195300,9.80000000E+1,
1455.078100,8.10000000E+1,
1459.960900,9.90000000E+1,
1464.843800,9.90000000E+1,
1469.726600,8.20000000E+1,
1474.609400,8.20000000E+1,
1479.492200,7.90000000E+1,
1484.375000,1.01000000E+2,
1489.257800,9.20000000E+1,
1494.140600,1.08000000E+2,
1499.023400,7.10000000E+1,
1503.906300,1.05000000E+2,
1508.789100,9.40000000E+1,
1513.671900,1.11000000E+2,
1518.554700,7.80000000E+1,
1523.437500,9.40000000E+1,
1528.32000,8.10000000E+1,
1533.203100,7.50000000E+1,
1538.085900,8.70000000E+1,
1542.968800,9.40000000E+1,
1547.851600,8.90000000E+1,
1552.734400,9.00000000E+1,
1557.617200,9.60000000E+1,
1562.5000,8.50000000E+1,
1567.382800,7.00000000E+1,
1572.265600,9.30000000E+1,
1577.148400,7.60000000E+1,
1582.031300,1.06000000E+2,
1586.914100,9.00000000E+1,
1591.796900,9.20000000E+1,
1596.68000,6.50000000E+1,
1601.562500,8.60000000E+1,
1606.445300,8.00000000E+1,
1611.328100,9.20000000E+1,
1616.210900,9.20000000E+1,
1621.093800,7.40000000E+1,
1625.976600,7.40000000E+1,
1630.859400,7.70000000E+1,
1635.742200,8.30000000E+1,
1640.625000,7.70000000E+1,
1645.507800,7.20000000E+1,
1650.390600,8.30000000E+1,
1655.273400,1.16000000E+2,
1660.156300,7.70000000E+1,
1665.039100,9.80000000E+1,
1669.921900,8.40000000E+1,
1674.804700,9.90000000E+1,
1679.687500,8.50000000E+1,
1684.57000,7.70000000E+1,
1689.453100,8.60000000E+1,
1694.335900,7.70000000E+1,
1699.218800,6.20000000E+1,
1704.101600,7.50000000E+1,
1708.984400,7.70000000E+1,
1713.867200,9.00000000E+1,
1718.75000,9.50000000E+1,
1723.632800,7.80000000E+1,
1728.515600,6.60000000E+1,
1733.398400,7.80000000E+1,
1738.281300,8.30000000E+1,
1743.164100,6.50000000E+1,
1748.046900,9.60000000E+1,
1752.93000,9.00000000E+1,
1757.812500,8.70000000E+1,
1762.695300,7.90000000E+1,
1767.578100,7.90000000E+1,
1772.460900,8.00000000E+1,
1777.343800,6.50000000E+1,
1782.226600,6.40000000E+1,
1787.109400,7.00000000E+1,
1791.992200,6.40000000E+1,
1796.875000,7.00000000E+1,
1801.757800,8.40000000E+1,
1806.640600,7.30000000E+1,
1811.523400,6.20000000E+1,
1816.406300,7.90000000E+1,
1821.289100,8.20000000E+1,
1826.171900,7.10000000E+1,
1831.054700,8.90000000E+1,
1835.937500,7.50000000E+1,
1840.82000,7.30000000E+1,
1845.703100,7.90000000E+1,
1850.585900,8.00000000E+1,
1855.468800,7.10000000E+1,
1860.351600,8.00000000E+1,
1865.234400,6.80000000E+1,
1870.117200,7.20000000E+1,
1875.000,7.20000000E+1,
1879.882800,8.40000000E+1,
1884.765600,6.90000000E+1,
1889.648400,6.40000000E+1,
1894.531300,6.30000000E+1,
1899.414100,6.60000000E+1,
1904.296900,6.30000000E+1,
1909.18000,6.90000000E+1,
1914.062500,7.30000000E+1,
1918.945300,8.00000000E+1,
1923.828100,9.20000000E+1,
1928.710900,6.80000000E+1,
1933.593800,5.90000000E+1,
1938.476600,9.00000000E+1,
1943.359400,5.80000000E+1,
1948.242200,7.40000000E+1,
1953.125000,6.20000000E+1,
1958.007800,8.70000000E+1,
1962.890600,7.70000000E+1,
1967.773400,6.70000000E+1,
1972.656300,7.00000000E+1,
1977.539100,5.90000000E+1,
1982.421900,5.50000000E+1,
1987.304700,7.20000000E+1,
1992.187500,8.00000000E+1,
1997.07000,6.00000000E+1,
2001.953100,6.80000000E+1,
2006.835900,7.20000000E+1,
2011.718800,7.20000000E+1,
2016.601600,7.60000000E+1,
2021.484400,5.50000000E+1,
2026.367200,7.00000000E+1,
2031.25000,7.80000000E+1,
2036.132800,6.80000000E+1,
2041.015600,6.80000000E+1,
2045.898400,7.50000000E+1,
2050.781300,5.20000000E+1,
2055.664100,6.50000000E+1,
2060.546900,7.60000000E+1,
2065.43000,6.60000000E+1,
2070.312500,7.40000000E+1,
2075.195300,8.20000000E+1,
2080.078100,5.90000000E+1,
2084.960900,7.50000000E+1,
2089.843800,5.70000000E+1,
2094.726600,7.10000000E+1,
2099.609400,5.70000000E+1,
2104.492200,6.00000000E+1,
2109.375000,6.50000000E+1,
2114.257800,6.40000000E+1,
2119.140600,6.10000000E+1,
2124.023400,5.10000000E+1,
2128.906300,5.90000000E+1,
2133.789100,6.20000000E+1,
2138.671900,6.10000000E+1,
2143.554700,8.20000000E+1,
2148.437500,5.50000000E+1,
2153.32000,5.70000000E+1,
2158.203100,5.90000000E+1,
2163.085900,6.80000000E+1,
2167.968800,6.70000000E+1,
2172.851600,6.80000000E+1,
2177.734400,4.70000000E+1,
2182.617200,5.80000000E+1,
2187.5000,6.10000000E+1,
2192.382800,5.90000000E+1,
2197.265600,6.80000000E+1,
2202.148400,6.40000000E+1,
2207.031300,6.00000000E+1,
2211.914100,5.80000000E+1,
2216.796900,5.60000000E+1,
2221.68000,6.60000000E+1,
2226.562500,4.90000000E+1,
2231.445300,6.40000000E+1,
2236.328100,6.10000000E+1,
2241.210900,5.50000000E+1,
2246.093800,4.10000000E+1,
2250.976600,5.70000000E+1,
2255.859400,7.00000000E+1,
2260.742200,5.90000000E+1,
2265.625000,5.70000000E+1,
2270.507800,6.70000000E+1,
2275.390600,6.30000000E+1,
2280.273400,6.30000000E+1,
