Labels,Decay21,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset,,
XAxis,Time,
YAxis,Counts,

0.00,0.00000000E+0,
4.8828125,0.00000000E+0,
9.7656250,0.00000000E+0,
14.648438,0.00000000E+0,
19.531250,0.00000000E+0,
24.414063,0.00000000E+0,
29.296875,0.00000000E+0,
34.179688,0.00000000E+0,
39.06250,2.00000000E+0,
43.945313,1.00000000E+1,
48.828125,5.00000000E+0,
53.710938,9.00000000E+0,
58.593750,4.00000000E+0,
63.476563,7.00000000E+0,
68.359375,2.00000000E+1,
73.242188,5.02000000E+2,
78.1250,5.50000000E+2,
83.007813,5.29000000E+2,
87.890625,4.79000000E+2,
92.773438,4.52000000E+2,
97.656250,4.43000000E+2,
102.539060,4.15000000E+2,
107.421880,4.27000000E+2,
112.304690,3.88000000E+2,
117.187500,4.50000000E+2,
122.070310,3.94000000E+2,
126.953130,3.99000000E+2,
131.835940,3.56000000E+2,
136.718750,4.00000000E+2,
141.601560,3.90000000E+2,
146.484380,3.62000000E+2,
151.367190,3.60000000E+2,
156.2500,3.80000000E+2,
161.132810,3.91000000E+2,
166.015630,3.67000000E+2,
170.898440,3.54000000E+2,
175.781250,3.74000000E+2,
180.664060,3.47000000E+2,
185.546880,3.96000000E+2,
190.429690,4.10000000E+2,
195.312500,3.49000000E+2,
200.195310,3.63000000E+2,
205.078130,3.58000000E+2,
209.960940,3.70000000E+2,
214.843750,3.71000000E+2,
219.726560,3.73000000E+2,
224.609380,3.32000000E+2,
229.492190,3.22000000E+2,
234.37500,3.87000000E+2,
239.257810,3.14000000E+2,
244.140630,3.49000000E+2,
249.023440,3.62000000E+2,
253.906250,3.50000000E+2,
258.789060,3.48000000E+2,
263.671880,3.67000000E+2,
268.554690,3.41000000E+2,
273.437500,2.95000000E+2,
278.320310,3.27000000E+2,
283.203130,3.14000000E+2,
288.085940,3.27000000E+2,
292.968750,3.26000000E+2,
297.851560,3.40000000E+2,
302.734380,3.04000000E+2,
307.617190,3.02000000E+2,
312.500,3.27000000E+2,
317.382810,3.32000000E+2,
322.265630,3.03000000E+2,
327.148440,3.10000000E+2,
332.031250,3.44000000E+2,
336.914060,3.22000000E+2,
341.796880,3.45000000E+2,
346.679690,2.69000000E+2,
351.562500,3.04000000E+2,
356.445310,2.96000000E+2,
361.328130,2.69000000E+2,
366.210940,3.16000000E+2,
371.093750,2.89000000E+2,
375.976560,3.00000000E+2,
380.859380,3.05000000E+2,
385.742190,3.07000000E+2,
390.62500,2.83000000E+2,
395.507810,3.22000000E+2,
400.390630,2.99000000E+2,
405.273440,3.25000000E+2,
410.156250,3.02000000E+2,
415.039060,3.09000000E+2,
419.921880,2.79000000E+2,
424.804690,2.81000000E+2,
429.687500,3.00000000E+2,
434.570310,2.93000000E+2,
439.453130,2.72000000E+2,
444.335940,3.05000000E+2,
449.218750,2.63000000E+2,
454.101560,2.49000000E+2,
458.984380,2.89000000E+2,
463.867190,2.94000000E+2,
468.7500,2.88000000E+2,
473.632810,2.81000000E+2,
478.515630,2.72000000E+2,
483.398440,2.55000000E+2,
488.281250,2.80000000E+2,
493.164060,2.70000000E+2,
498.046880,2.93000000E+2,
502.929690,2.91000000E+2,
507.812500,2.59000000E+2,
512.695310,2.84000000E+2,
517.578130,2.66000000E+2,
522.460940,2.65000000E+2,
527.343750,2.93000000E+2,
532.226560,2.61000000E+2,
537.109380,2.65000000E+2,
541.992190,2.53000000E+2,
546.87500,2.74000000E+2,
551.757810,2.61000000E+2,
556.640630,2.65000000E+2,
561.523440,2.79000000E+2,
566.406250,2.53000000E+2,
571.289060,2.65000000E+2,
576.171880,2.54000000E+2,
581.054690,2.56000000E+2,
585.937500,2.18000000E+2,
590.820310,2.31000000E+2,
595.703130,2.50000000E+2,
600.585940,2.57000000E+2,
605.468750,2.36000000E+2,
610.351560,2.42000000E+2,
615.234380,2.20000000E+2,
620.117190,2.54000000E+2,
625.00,2.83000000E+2,
629.882810,2.49000000E+2,
634.765630,2.20000000E+2,
639.648440,2.33000000E+2,
644.531250,2.09000000E+2,
649.414060,2.46000000E+2,
654.296880,2.34000000E+2,
659.179690,2.51000000E+2,
664.062500,2.67000000E+2,
668.945310,2.56000000E+2,
673.828130,2.49000000E+2,
678.710940,2.58000000E+2,
683.593750,2.66000000E+2,
688.476560,2.44000000E+2,
693.359380,2.31000000E+2,
698.242190,2.37000000E+2,
703.12500,2.26000000E+2,
708.007810,2.08000000E+2,
712.890630,1.98000000E+2,
717.773440,2.21000000E+2,
722.656250,2.16000000E+2,
727.539060,2.33000000E+2,
732.421880,2.26000000E+2,
737.304690,2.25000000E+2,
742.187500,2.27000000E+2,
747.070310,2.03000000E+2,
751.953130,2.13000000E+2,
756.835940,2.26000000E+2,
761.718750,2.21000000E+2,
766.601560,2.36000000E+2,
771.484380,2.28000000E+2,
776.367190,2.41000000E+2,
781.2500,1.85000000E+2,
786.132810,1.95000000E+2,
791.015630,2.23000000E+2,
795.898440,2.22000000E+2,
800.781250,2.03000000E+2,
805.664060,2.16000000E+2,
810.546880,1.86000000E+2,
815.429690,2.29000000E+2,
820.312500,2.21000000E+2,
825.195310,1.99000000E+2,
830.078130,2.03000000E+2,
834.960940,1.99000000E+2,
839.843750,1.91000000E+2,
844.726560,2.06000000E+2,
849.609380,2.02000000E+2,
854.492190,1.86000000E+2,
859.37500,2.14000000E+2,
864.257810,2.00000000E+2,
869.140630,1.89000000E+2,
874.023440,1.85000000E+2,
878.906250,2.05000000E+2,
883.789060,1.89000000E+2,
888.671880,1.96000000E+2,
893.554690,2.04000000E+2,
898.437500,1.92000000E+2,
903.320310,2.17000000E+2,
908.203130,1.81000000E+2,
913.085940,1.80000000E+2,
917.968750,2.06000000E+2,
922.851560,1.67000000E+2,
927.734380,1.68000000E+2,
932.617190,1.96000000E+2,
937.500,2.02000000E+2,
942.382810,1.86000000E+2,
947.265630,1.90000000E+2,
952.148440,1.98000000E+2,
957.031250,1.93000000E+2,
961.914060,1.98000000E+2,
966.796880,2.02000000E+2,
971.679690,1.90000000E+2,
976.562500,1.90000000E+2,
981.445310,1.91000000E+2,
986.328130,1.82000000E+2,
991.210940,1.60000000E+2,
996.093750,1.66000000E+2,
1000.976600,1.82000000E+2,
1005.859400,1.74000000E+2,
1010.742200,1.76000000E+2,
1015.625000,1.92000000E+2,
1020.507800,1.51000000E+2,
1025.390600,1.94000000E+2,
1030.273400,1.77000000E+2,
1035.156300,2.02000000E+2,
1040.039100,1.76000000E+2,
1044.921900,1.95000000E+2,
1049.804700,1.64000000E+2,
1054.687500,1.77000000E+2,
1059.57000,1.75000000E+2,
1064.453100,1.65000000E+2,
1069.335900,1.51000000E+2,
1074.218800,1.59000000E+2,
1079.101600,1.60000000E+2,
1083.984400,1.69000000E+2,
1088.867200,1.73000000E+2,
1093.75000,1.78000000E+2,
1098.632800,1.50000000E+2,
1103.515600,1.55000000E+2,
1108.398400,1.52000000E+2,
1113.281300,1.65000000E+2,
1118.164100,1.70000000E+2,
1123.046900,1.61000000E+2,
1127.93000,1.44000000E+2,
1132.812500,1.59000000E+2,
1137.695300,1.65000000E+2,
1142.578100,1.73000000E+2,
1147.460900,1.70000000E+2,
1152.343800,1.38000000E+2,
1157.226600,1.65000000E+2,
1162.109400,1.49000000E+2,
1166.992200,1.53000000E+2,
1171.875000,1.40000000E+2,
1176.757800,1.59000000E+2,
1181.640600,1.51000000E+2,
1186.523400,1.37000000E+2,
1191.406300,1.61000000E+2,
1196.289100,1.50000000E+2,
1201.171900,1.48000000E+2,
1206.054700,1.45000000E+2,
1210.937500,1.53000000E+2,
1215.82000,1.47000000E+2,
1220.703100,1.72000000E+2,
1225.585900,1.43000000E+2,
1230.468800,1.40000000E+2,
1235.351600,1.44000000E+2,
1240.234400,1.44000000E+2,
1245.117200,1.59000000E+2,
1250.00,1.50000000E+2,
1254.882800,1.52000000E+2,
1259.765600,1.43000000E+2,
1264.648400,1.59000000E+2,
1269.531300,1.30000000E+2,
1274.414100,1.29000000E+2,
1279.296900,1.76000000E+2,
1284.18000,1.44000000E+2,
1289.062500,1.48000000E+2,
1293.945300,1.19000000E+2,
1298.828100,1.46000000E+2,
1303.710900,1.23000000E+2,
1308.593800,1.49000000E+2,
1313.476600,1.11000000E+2,
1318.359400,1.33000000E+2,
1323.242200,1.47000000E+2,
1328.125000,1.44000000E+2,
1333.007800,1.39000000E+2,
1337.890600,1.27000000E+2,
1342.773400,1.33000000E+2,
1347.656300,1.51000000E+2,
1352.539100,1.46000000E+2,
1357.421900,1.40000000E+2,
1362.304700,1.24000000E+2,
1367.187500,1.17000000E+2,
1372.07000,1.46000000E+2,
1376.953100,1.41000000E+2,
1381.835900,1.38000000E+2,
1386.718800,1.20000000E+2,
1391.601600,1.27000000E+2,
1396.484400,1.29000000E+2,
1401.367200,1.27000000E+2,
1406.25000,1.34000000E+2,
1411.132800,1.18000000E+2,
1416.015600,1.26000000E+2,
1420.898400,1.31000000E+2,
1425.781300,1.34000000E+2,
1430.664100,1.36000000E+2,
1435.546900,1.51000000E+2,
1440.43000,1.40000000E+2,
1445.312500,1.07000000E+2,
1450.195300,1.33000000E+2,
1455.078100,1.24000000E+2,
1459.960900,1.33000000E+2,
1464.843800,1.16000000E+2,
1469.726600,1.19000000E+2,
