
START TIME : 2023-12-25 19:25:06
STEP-03 : [SolarCell-IV]

area=0.05800000
temperature=25.000
factor_alpha=0.000000
factor_beta=0.000000
factor_gama=0.000000
irradnce=100.000
TIME,V(V),I(mA),J(mA/cm²),R(ohm),P(mW),Isc(mA),Jsc(mA/cm²),Voc(V),Pmax(mW),Vpmax(V),Ipmax(mA),FF(%),Etac(%)
0.000000000e+00,+1.200000E+000,-5.381823E+000,-9.279005E+001,-2.229728E+002,-6.458188E+000,,,,,,,,
6.313866000e-02,+1.190000E+000,-4.515710E+000,-7.785707E+001,-2.635244E+002,-5.373695E+000,,,,,,,,
1.262758600e-01,+1.180000E+000,-3.980335E+000,-6.862646E+001,-2.964575E+002,-4.696795E+000,,,,,,,,
1.894202200e-01,+1.170000E+000,-3.477235E+000,-5.995233E+001,-3.364743E+002,-4.068365E+000,,,,,,,,
2.525610600e-01,+1.160000E+000,-2.999712E+000,-5.171918E+001,-3.867037E+002,-3.479666E+000,,,,,,,,
3.156958200e-01,+1.150000E+000,-2.548613E+000,-4.394160E+001,-4.512259E+002,-2.930905E+000,,,,,,,,
3.788325200e-01,+1.140000E+000,-2.125454E+000,-3.664576E+001,-5.363559E+002,-2.423018E+000,,,,,,,,
4.419623800e-01,+1.130000E+000,-1.730654E+000,-2.983886E+001,-6.529324E+002,-1.955639E+000,,,,,,,,
5.050883200e-01,+1.120000E+000,-1.365143E+000,-2.353694E+001,-8.204272E+002,-1.528960E+000,,,,,,,,
5.682198400e-01,+1.110000E+000,-1.028423E+000,-1.773143E+001,-1.079323E+003,-1.141549E+000,,,,,,,,
6.313496600e-01,+1.100000E+000,-7.219810E-001,-1.244795E+001,-1.523586E+003,-7.941791E-001,,,,,,,,
6.944769000e-01,+1.090000E+000,-4.456483E-001,-7.683592E+000,-2.445875E+003,-4.857567E-001,,,,,,,,
7.575806200e-01,+1.080000E+000,-1.979278E-001,-3.412549E+000,-5.456535E+003,-2.137620E-001,,,,,,,,
8.207103200e-01,+1.070000E+000,+2.178154E-002,+3.755439E-001,+4.912416E+004,+2.330625E-002,,,,,,,,
8.838239200e-01,+1.060000E+000,+2.135109E-001,+3.681222E+000,+4.964618E+003,+2.263215E-001,,,,,,,,
9.469519400e-01,+1.050000E+000,+3.813731E-001,+6.575398E+000,+2.753209E+003,+4.004418E-001,,,,,,,,
1.010073300e+00,+1.040000E+000,+5.261947E-001,+9.072322E+000,+1.976455E+003,+5.472425E-001,,,,,,,,
1.073214080e+00,+1.030000E+000,+6.494556E-001,+1.119751E+001,+1.585944E+003,+6.689393E-001,,,,,,,,
1.136353120e+00,+1.020000E+000,+7.550803E-001,+1.301863E+001,+1.350850E+003,+7.701819E-001,,,,,,,,
1.199487700e+00,+1.010000E+000,+8.446647E-001,+1.456318E+001,+1.195741E+003,+8.531113E-001,,,,,,,,
1.262614280e+00,+1.000000E+000,+9.209022E-001,+1.587762E+001,+1.085892E+003,+9.209022E-001,,,,,,,,
1.325739380e+00,+9.900000E-001,+9.862032E-001,+1.700350E+001,+1.003850E+003,+9.763412E-001,,,,,,,,
1.388864980e+00,+9.800000E-001,+1.040862E+000,+1.794590E+001,+9.415269E+002,+1.020045E+000,,,,,,,,
1.452001960e+00,+9.700000E-001,+1.087417E+000,+1.874858E+001,+8.920217E+002,+1.054795E+000,,,,,,,,
1.515146940e+00,+9.600000E-001,+1.126354E+000,+1.941990E+001,+8.523074E+002,+1.081300E+000,,,,,,,,
1.578279120e+00,+9.500000E-001,+1.159840E+000,+1.999725E+001,+8.190781E+002,+1.101848E+000,,,,,,,,
1.641416960e+00,+9.400000E-001,+1.188395E+000,+2.048957E+001,+7.909827E+002,+1.117091E+000,,,,,,,,
