Time(min),Time(h),Normalized PCE
275,4.58333,0.70376
276,4.6,0.70298
277,4.61667,0.70533
278,4.63333,0.70395
279,4.65,0.70552
280,4.66667,0.70871
281,4.68333,0.70298
282,4.7,0.70154
283,4.71667,0.70473
284,4.73333,0.70315
285,4.75,0.70235
286,4.76667,0.70314
287,4.78333,0.69984
288,4.8,0.69523
289,4.81667,0.69984
290,4.83333,0.70156
291,4.85,0.69645
292,4.86667,0.69645
293,4.88333,0.70074
294,4.9,0.69905
295,4.91667,0.69434
296,4.93333,0.69905
297,4.95,0.69489
298,4.96667,0.69441
299,4.98333,0.69512
300,5,0.69489
301,5.01667,0.69355
302,5.03333,0.69591
303,5.05,0.69489
304,5.06667,0.69434
305,5.08333,0.69441
306,5.1,0.68945
307,5.11667,0.69441
308,5.13333,0.6879
309,5.15,0.68922
310,5.16667,0.69111
311,5.18333,0.68712
312,5.2,0.68884
313,5.21667,0.68568
314,5.23333,0.6871
315,5.25,0.68805
316,5.26667,0.68323
317,5.28333,0.68489
318,5.3,0.67854
319,5.31667,0.6708
320,5.33333,0.68409
321,5.35,0.68334
322,5.36667,0.68177
323,5.38333,0.68177
324,5.4,0.68549
325,5.41667,0.68412
326,5.43333,0.68168
327,5.45,0.6803
328,5.46667,0.67857
329,5.48333,0.6809
330,5.5,0.6857
331,5.51667,0.68098
332,5.53333,0.68013
333,5.55,0.68412
334,5.56667,0.68323
335,5.58333,0.68011
336,5.6,0.67695
337,5.61667,0.67935
338,5.63333,0.67624
339,5.65,0.67624
340,5.66667,0.67779
341,5.68333,0.67863
342,5.7,0.67863
343,5.71667,0.68308
344,5.73333,0.67857
345,5.75,0.67941
346,5.76667,0.67987
347,5.78333,0.67784
348,5.8,0.67391
349,5.81667,0.67773
350,5.83333,0.68148
351,5.85,0.67616
352,5.86667,0.67666
353,5.88333,0.67313
354,5.9,0.66988
355,5.91667,0.67313
356,5.93333,0.67549
357,5.95,0.67378
358,5.96667,0.67234
359,5.98333,0.67158
360,6,0.67157
361,6.01667,0.6708
362,6.03333,0.67219
363,6.05,0.67313
364,6.06667,0.67077
365,6.08333,0.67057
366,6.1,0.66976
367,6.11667,0.67002
368,6.13333,0.66999
369,6.15,0.66758
370,6.16667,0.67002
371,6.18333,0.66763
372,6.2,0.66924
373,6.21667,0.67077
374,6.23333,0.66691
375,6.25,0.67234
376,6.26667,0.66846
377,6.28333,0.66999
378,6.3,0.67234
379,6.31667,0.67375
380,6.33333,0.66842
381,6.35,0.66763
382,6.36667,0.67156
383,6.38333,0.66505
384,6.4,0.67077
385,6.41667,0.65896
386,6.43333,0.66449
387,6.45,0.66763
388,6.46667,0.66536
389,6.48333,0.66663
390,6.5,0.66303
391,6.51667,0.66374
392,6.53333,0.66374
393,6.55,0.66842
394,6.56667,0.66425
395,6.58333,0.66144
396,6.6,0.66763
397,6.61667,0.66663
398,6.63333,0.66613
399,6.65,0.66144
400,6.66667,0.66371
401,6.68333,0.65821
402,6.7,0.66213
403,6.71667,0.65836
404,6.73333,0.66505
405,6.75,0.65759
406,6.76667,0.66225
407,6.78333,0.65914
408,6.8,0.66458
409,6.81667,0.66147
410,6.83333,0.65914
411,6.85,0.66147
412,6.86667,0.65992
413,6.88333,0.65914
414,6.9,0.66135
415,6.91667,0.65914
416,6.93333,0.66135
417,6.95,0.65682
418,6.96667,0.65899
419,6.98333,0.65682
420,7,0.66213
421,7.01667,0.66056
422,7.03333,0.65899
423,7.05,0.65821
424,7.06667,0.65681
425,7.08333,0.65742
426,7.1,0.65603
427,7.11667,0.65603
428,7.13333,0.65978
429,7.15,0.65836
430,7.16667,0.65866
431,7.18333,0.65992
432,7.2,0.65604
433,7.21667,0.65603
434,7.23333,0.65742
435,7.25,0.65992
436,7.26667,0.65978
437,7.28333,0.65585
438,7.3,0.65604
439,7.31667,0.65742
440,7.33333,0.65473
441,7.35,0.65914
442,7.36667,0.65375
443,7.38333,0.65836
444,7.4,0.65506
445,7.41667,0.65375
446,7.43333,0.65349
447,7.45,0.65632
448,7.46667,0.65145
449,7.48333,0.65525
450,7.5,0.65585
451,7.51667,0.65298
452,7.53333,0.65632
453,7.55,0.65371
454,7.56667,0.65068
455,7.58333,0.6537
456,7.6,0.65292
457,7.61667,0.65428
458,7.63333,0.65271
459,7.65,0.65428
460,7.66667,0.6506
461,7.68333,0.65375
462,7.7,0.65068
463,7.71667,0.65156
464,7.73333,0.65068
465,7.75,0.65349
466,7.76667,0.65349
467,7.78333,0.65114
468,7.8,0.65059
469,7.81667,0.65394
470,7.83333,0.65214
471,7.85,0.64761
472,7.86667,0.64914
473,7.88333,0.65192
474,7.9,0.64672
475,7.91667,0.64991
476,7.93333,0.64956
477,7.95,0.65138
478,7.96667,0.64914
479,7.98333,0.65156
480,8,0.64981
481,8.01667,0.65035
482,8.03333,0.64837
483,8.05,0.65473
484,8.06667,0.64956
485,8.08333,0.64605
486,8.1,0.64905
487,8.11667,0.64905
488,8.13333,0.64981
489,8.15,0.65035
490,8.16667,0.64799
491,8.18333,0.64595
492,8.2,0.64684
493,8.21667,0.64748
494,8.23333,0.64914
495,8.25,0.64672
496,8.26667,0.64377
497,8.28333,0.64224
498,8.3,0.64903
499,8.31667,0.64721
500,8.33333,0.64362
501,8.35,0.64828
502,8.36667,0.6475
503,8.38333,0.64672
504,8.4,0.64878
505,8.41667,0.64828
506,8.43333,0.64642
507,8.45,0.64224
508,8.46667,0.64377
509,8.48333,0.64564
510,8.5,0.64224
511,8.51667,0.64377
512,8.53333,0.64761
513,8.55,0.64721
514,8.56667,0.64453
515,8.58333,0.643
516,8.6,0.64453
517,8.61667,0.643
518,8.63333,0.6475
519,8.65,0.64284
520,8.66667,0.6392
521,8.68333,0.64595
522,8.7,0.64284
523,8.71667,0.64679
524,8.73333,0.64069
525,8.75,0.64564
526,8.76667,0.64302
527,8.78333,0.64146
528,8.8,0.643
529,8.81667,0.63758
530,8.83333,0.63992
531,8.85,0.64515
532,8.86667,0.64206
533,8.88333,0.63992
534,8.9,0.63916
535,8.91667,0.64146
536,8.93333,0.64069
537,8.95,0.64223
538,8.96667,0.64129
539,8.98333,0.64362
540,9,0.63769
541,9.01667,0.64124
542,9.03333,0.63916
543,9.05,0.64281
544,9.06667,0.64284
545,9.08333,0.64281
546,9.1,0.64129
547,9.11667,0.64284
548,9.13333,0.64129
549,9.15,0.63818
550,9.16667,0.63916
551,9.18333,0.64069
552,9.2,0.63769
553,9.21667,0.64204
554,9.23333,0.63762
555,9.25,0.63685
556,9.26667,0.64124
557,9.28333,0.6444
558,9.3,0.64146
559,9.31667,0.63974
560,9.33333,0.63762
561,9.35,0.6425
562,9.36667,0.64048
563,9.38333,0.63839
564,9.4,0.64048
565,9.41667,0.63685
566,9.43333,0.6425
567,9.45,0.63839
568,9.46667,0.64204
569,9.48333,0.63992
570,9.5,0.63974
571,9.51667,0.63936
572,9.53333,0.6425
573,9.55,0.6392
574,9.56667,0.64093
575,9.58333,0.63992
576,9.6,0.64171
577,9.61667,0.63692
578,9.63333,0.63896
579,9.65,0.64129
580,9.66667,0.637
581,9.68333,0.63857
582,9.7,0.63893
583,9.71667,0.6366
584,9.73333,0.63531
585,9.75,0.63762
586,9.76667,0.63936
587,9.78333,0.63621
588,9.8,0.63648
589,9.81667,0.63762
590,9.83333,0.63663
591,9.85,0.63464
