Time(min),Time(h),Normalized PCE,,,
218,3.63333,0.8247,,,
219,3.65,0.82201,,,
220,3.66667,0.82469,,,
221,3.68333,0.82229,,,
222,3.7,0.82591,,,
223,3.71667,0.82548,,,
224,3.73333,0.82401,,,
225,3.75,0.82657,,,
226,3.76667,0.82809,,,
227,3.78333,0.82915,,,
228,3.8,0.82982,,,
229,3.81667,0.82375,,,
230,3.83333,0.82115,,,
231,3.85,0.81768,,,
232,3.86667,0.8224,,,
233,3.88333,0.82288,,,
234,3.9,0.82152,,,
235,3.91667,0.82486,,,
236,3.93333,0.82375,,,
237,3.95,0.81526,,,
238,3.96667,0.81507,,,
239,3.98333,0.8247,,,
240,4,0.82415,,,
241,4.01667,0.82415,,,
242,4.03333,0.82212,,,
243,4.05,0.82288,,,
244,4.06667,0.81877,,,
245,4.08333,0.82486,,,
246,4.1,0.81538,,,
247,4.11667,0.81681,,,
248,4.13333,0.81714,,,
249,4.15,0.81864,,,
250,4.16667,0.81955,,,
251,4.18333,0.82297,,,
252,4.2,0.81623,,,
253,4.21667,0.81802,,,
254,4.23333,0.82375,,,
255,4.25,0.81955,,,
256,4.26667,0.81886,,,
257,4.28333,0.81738,,,
258,4.3,0.81161,,,
259,4.31667,0.81276,,,
260,4.33333,0.80943,,,
261,4.35,0.81869,,,
262,4.36667,0.81714,,,
263,4.38333,0.81869,,,
264,4.4,0.8127,,,
265,4.41667,0.80987,,,
266,4.43333,0.81115,,,
267,4.45,0.80749,,,
268,4.46667,0.81543,,,
269,4.48333,0.81206,,,
270,4.5,0.81161,,,
271,4.51667,0.81627,,,
272,4.53333,0.81248,,,
273,4.55,0.81098,,,
274,4.56667,0.80814,,,
275,4.58333,0.80776,,,
276,4.6,0.80814,,,
277,4.61667,0.80727,,,
278,4.63333,0.80771,,,
279,4.65,0.80467,,,
280,4.66667,0.80455,,,
281,4.68333,0.80071,,,
282,4.7,0.80514,,,
283,4.71667,0.80328,,,
284,4.73333,0.8012,,,
285,4.75,0.8012,,,
286,4.76667,0.79934,,,
287,4.78333,0.80294,,,
288,4.8,0.79814,,,
289,4.81667,0.79985,,,
290,4.83333,0.7976,,,
291,4.85,0.80052,,,
292,4.86667,0.79947,,,
293,4.88333,0.79676,,,
294,4.9,0.7961,,,
295,4.91667,0.79947,,,
296,4.93333,0.79513,,,
297,4.95,0.79947,,,
298,4.96667,0.79513,,,
299,4.98333,0.79386,,,
300,5,0.79471,,,
301,5.01667,0.79427,,,
302,5.03333,0.79728,,,
303,5.05,0.79214,,,
304,5.06667,0.79043,,,
305,5.08333,0.78786,,,
306,5.1,0.78906,,,
307,5.11667,0.7908,,,
308,5.13333,0.78957,,,
309,5.15,0.78786,,,
310,5.16667,0.78872,,,
311,5.18333,0.78819,,,
312,5.2,0.7856,,,
313,5.21667,0.7856,,,
314,5.23333,0.78358,,,
315,5.25,0.11177,,,
316,5.26667,0.76674,,,
317,5.28333,0.76797,,,
318,5.3,0.77559,,,
319,5.31667,0.76352,,,
320,5.33333,0.75866,,,
321,5.35,0.77587,,,
322,5.36667,0.77644,,,
323,5.38333,0.78101,,,
324,5.4,0.77779,,,
325,5.41667,0.78126,,,
326,5.43333,0.78067,,,
327,5.45,0.77779,,,
328,5.46667,0.77693,,,
329,5.48333,0.77728,,,
330,5.5,0.77605,,,
331,5.51667,0.7793,,,
332,5.53333,0.77866,,,
333,5.55,0.77758,,,
334,5.56667,0.77605,,,
335,5.58333,0.77474,,,
336,5.6,0.77346,,,
337,5.61667,0.77245,,,
338,5.63333,0.77427,,,
339,5.65,0.77245,,,
340,5.66667,0.77172,,,
341,5.68333,0.77245,,,
342,5.7,0.76902,,,
343,5.71667,0.77073,,,
344,5.73333,0.77172,,,
345,5.75,0.77136,,,
346,5.76667,0.76565,,,
347,5.78333,0.76738,,,
348,5.8,0.76738,,,
349,5.81667,0.76731,,,
350,5.83333,0.77051,,,
351,5.85,0.76645,,,
352,5.86667,0.76458,,,
353,5.88333,0.76712,,,
354,5.9,0.76392,,,
355,5.91667,0.76218,,,
356,5.93333,0.76543,,,
357,5.95,0.76132,,,
358,5.96667,0.75958,,,
359,5.98333,0.76132,,,
360,6,0.76119,,,
361,6.01667,0.7596,,,
362,6.03333,0.76045,,,
363,6.05,0.75928,,,
364,6.06667,0.75874,,,
365,6.08333,0.7596,,,
366,6.1,0.7596,,,
367,6.11667,0.75532,,,
368,6.13333,0.75781,,,
369,6.15,0.75442,,,
370,6.16667,0.75446,,,
371,6.18333,0.75611,,,
372,6.2,0.75446,,,
373,6.21667,0.75611,,,
374,6.23333,0.75789,,,
375,6.25,0.75358,,,
376,6.26667,0.75189,,,
377,6.28333,0.75104,,,
378,6.3,0.75084,,,
379,6.31667,0.75611,,,
380,6.33333,0.75406,,,
381,6.35,0.74932,,,
382,6.36667,0.75361,,,
383,6.38333,0.75351,,,
384,6.4,0.75103,,,
385,6.41667,0.75103,,,
386,6.43333,0.7468,,,
387,6.45,0.7468,,,
388,6.46667,0.74665,,,
389,6.48333,0.74665,,,
390,6.5,0.74658,,,
391,6.51667,0.74761,,,
392,6.53333,0.74247,,,
393,6.55,0.74414,,,
394,6.56667,0.74769,,,
395,6.58333,0.74079,,,
396,6.6,0.74247,,,
397,6.61667,0.74333,,,
398,6.63333,0.74172,,,
399,6.65,0.74341,,,
400,6.66667,0.74247,,,
401,6.68333,0.73648,,,
402,6.7,0.73748,,,
403,6.71667,0.73791,,,
404,6.73333,0.73579,,,
405,6.75,0.73833,,,
406,6.76667,0.73748,,,
407,6.78333,0.73918,,,
408,6.8,0.73476,,,
409,6.81667,0.73562,,,
410,6.83333,0.7341,,,
411,6.85,0.73444,,,
412,6.86667,0.73134,,,
413,6.88333,0.7321,,,
414,6.9,0.7322,,,
415,6.91667,0.73156,,,
416,6.93333,0.73156,,,
417,6.95,0.72907,,,
418,6.96667,0.72963,,,
419,6.98333,0.72987,,,
420,7,0.73075,,,
421,7.01667,0.72902,,,
422,7.03333,0.72817,,,
423,7.05,0.72817,,,
424,7.06667,0.72817,,,
425,7.08333,0.72363,,,
426,7.1,0.72394,,,
427,7.11667,0.7273,,,
428,7.13333,0.72449,,,
429,7.15,0.72563,,,
430,7.16667,0.72394,,,
431,7.18333,0.72316,,,
432,7.2,0.72405,,,
433,7.21667,0.72154,,,
434,7.23333,0.72055,,,
435,7.25,0.72224,,,
436,7.26667,0.7249,,,
437,7.28333,0.72107,,,
438,7.3,0.71717,,,
439,7.31667,0.71534,,,
440,7.33333,0.71559,,,
441,7.35,0.71764,,,
442,7.36667,0.72021,,,
443,7.38333,0.71394,,,
444,7.4,0.71764,,,
445,7.41667,0.71401,,,
446,7.43333,0.71632,,,
447,7.45,0.71393,,,
448,7.46667,0.7185,,,
449,7.48333,0.71293,,,
450,7.5,0.71485,,,
451,7.51667,0.71079,,,
452,7.53333,0.71079,,,
453,7.55,0.71233,,,
454,7.56667,0.70954,,,
455,7.58333,0.71226,,,
456,7.6,0.71164,,,
457,7.61667,0.70954,,,
458,7.63333,0.71293,,,
459,7.65,0.70954,,,
460,7.66667,0.70736,,,
461,7.68333,0.70485,,,
462,7.7,0.70785,,,
463,7.71667,0.7065,,,
464,7.73333,0.7064,,,
465,7.75,0.70531,,,
466,7.76667,0.70647,,,
467,7.78333,0.70565,,,
468,7.8,0.70277,,,
469,7.81667,0.70396,,,
470,7.83333,0.70308,,,
471,7.85,0.70362,,,
472,7.86667,0.70616,,,
473,7.88333,0.70137,,,
474,7.9,0.70229,,,
475,7.91667,0.7048,,,
476,7.93333,0.70531,,,
477,7.95,0.70055,,,
478,7.96667,0.70193,,,
479,7.98333,0.70023,,,
480,8,0.69888,,,
481,8.01667,0.69854,,,
482,8.03333,0.69659,,,
483,8.05,0.69475,,,
484,8.06667,0.69978,,,
485,8.08333,0.69727,,,
486,8.1,0.69769,,,
487,8.11667,0.69559,,,
488,8.13333,0.69794,,,
489,8.15,0.69281,,,
490,8.16667,0.69264,,,
491,8.18333,0.6943,,,
492,8.2,0.69576,,,
493,8.21667,0.6928,,,
494,8.23333,0.69643,,,
495,8.25,0.69171,,,
496,8.26667,0.69515,,,
497,8.28333,0.69261,,,
498,8.3,0.69308,,,
499,8.31667,0.68915,,,
500,8.33333,0.69346,,,
501,8.35,0.69176,,,
502,8.36667,0.69281,,,
503,8.38333,0.69346,,,
504,8.4,0.69176,,,
505,8.41667,0.68938,,,
506,8.43333,0.68801,,,
507,8.45,0.68681,,,
508,8.46667,0.68915,,,
509,8.48333,0.69176,,,
510,8.5,0.69109,,,
511,8.51667,0.68938,,,
512,8.53333,0.69109,,,
513,8.55,0.69261,,,
514,8.56667,0.68938,,,
515,8.58333,0.6928,,,
516,8.6,0.69007,,,
517,8.61667,0.69366,,,
518,8.63333,0.68922,,,
519,8.65,0.69024,,,
520,8.66667,0.68499,,,
521,8.68333,0.68806,,,
522,8.7,0.68753,,,
523,8.71667,0.68753,,,
524,8.73333,0.68595,,,
525,8.75,0.68584,,,
526,8.76667,0.68668,,,
527,8.78333,0.68502,,,
528,8.8,0.68922,,,
529,8.81667,0.68753,,,
530,8.83333,0.68584,,,
531,8.85,0.68414,,,
532,8.86667,0.68753,,,
533,8.88333,0.68414,,,
534,8.9,0.68387,,,
535,8.91667,0.68328,,,
536,8.93333,0.68089,,,
537,8.95,0.68216,,,
538,8.96667,0.6833,,,
539,8.98333,0.6833,,,
540,9,0.68241,,,
541,9.01667,0.68245,,,
542,9.03333,0.68075,,,
543,9.05,0.68082,,,
544,9.06667,0.68253,,,
545,9.08333,0.67822,,,
546,9.1,0.68082,,,
547,9.11667,0.68136,,,
548,9.13333,0.68082,,,
549,9.15,0.67885,,,
550,9.16667,0.67822,,,
551,9.18333,0.67822,,,
552,9.2,0.6791,,,
553,9.21667,0.67676,,,
554,9.23333,0.67739,,,
555,9.25,0.67593,,,
556,9.26667,0.67567,,,
557,9.28333,0.67652,,,
558,9.3,0.67593,,,
559,9.31667,0.67634,,,
560,9.33333,0.67652,,,
561,9.35,0.67299,,,
562,9.36667,0.67567,,,
563,9.38333,0.67229,,,
564,9.4,0.6738,,,
565,9.41667,0.67567,,,
566,9.43333,0.67225,,,
567,9.45,0.67262,,,
568,9.46667,0.67097,,,
569,9.48333,0.6706,,,
570,9.5,0.6706,,,
571,9.51667,0.67383,,,
572,9.53333,0.6706,,,
573,9.55,0.67398,,,
574,9.56667,0.67398,,,
575,9.58333,0.67048,,,
576,9.6,0.67144,,,
577,9.61667,0.6664,,,
578,9.63333,0.67015,,,
579,9.65,0.66795,,,
580,9.66667,0.66883,,,
581,9.68333,0.66713,,,
582,9.7,0.66636,,,
583,9.71667,0.66713,,,
584,9.73333,0.66626,,,
585,9.75,0.66544,,,
586,9.76667,0.66377,,,
587,9.78333,0.66546,,,
588,9.8,0.66369,,,
589,9.81667,0.66378,,,
590,9.83333,0.66467,,,
591,9.85,0.66382,,,
592,9.86667,0.66298,,,
593,9.88333,0.66023,,,
594,9.9,0.66106,,,
595,9.91667,0.65959,,,
596,9.93333,0.66294,,,
597,9.95,0.65875,,,
598,9.96667,0.65858,,,
599,9.98333,0.65855,,,
600,10,0.65959,,,
601,10.01667,0.65874,,,
602,10.03333,0.65876,,,
603,10.05,0.65874,,,
604,10.06667,0.65692,,,
605,10.08333,0.66211,,,
606,10.1,0.6561,,,
607,10.11667,0.65536,,,
608,10.13333,0.65527,,,
609,10.15,0.65959,,,
610,10.16667,0.65451,,,
611,10.18333,0.65598,,,
612,10.2,0.65789,,,
613,10.21667,0.65541,,,
614,10.23333,0.65458,,,
615,10.25,0.65708,,,
616,10.26667,0.65458,,,
617,10.28333,0.65281,,,
618,10.3,0.65197,,,
619,10.31667,0.65114,,,
620,10.33333,0.65366,,,
621,10.35,0.65123,,,
622,10.36667,0.65112,,,
623,10.38333,0.64858,,,
624,10.4,0.65028,,,
625,10.41667,0.65028,,,
626,10.43333,0.65112,,,
627,10.45,0.64872,,,
628,10.46667,0.64872,,,
629,10.48333,0.64788,,,
630,10.5,0.64742,,,
631,10.51667,0.64656,,,
632,10.53333,0.64701,,,
633,10.55,0.64956,,,
634,10.56667,0.64454,,,
635,10.58333,0.64454,,,
636,10.6,0.64704,,,
637,10.61667,0.64453,,,
638,10.63333,0.64656,,,
639,10.65,0.64453,,,
640,10.66667,0.6435,,,
641,10.68333,0.64536,,,
642,10.7,0.6452,,,
643,10.71667,0.6462,,,
644,10.73333,0.64265,,,
645,10.75,0.6419,,,
646,10.76667,0.6412,,,
647,10.78333,0.64485,,,
648,10.8,0.64287,,,
649,10.81667,0.64286,,,
650,10.83333,0.64123,,,
651,10.85,0.64142,,,
652,10.86667,0.64181,,,
653,10.88333,0.64371,,,
654,10.9,0.64287,,,
655,10.91667,0.6412,,,
656,10.93333,0.6435,,,
657,10.95,0.6404,,,
658,10.96667,0.63785,,,
659,10.98333,0.63842,,,
660,11,0.63957,,,
661,11.01667,0.63543,,,
662,11.03333,0.6371,,,
663,11.05,0.63627,,,
664,11.06667,0.63627,,,
665,11.08333,0.63869,,,
666,11.1,0.63535,,,
667,11.11667,0.64011,,,
668,11.13333,0.63627,,,
669,11.15,0.63842,,,
670,11.16667,0.63461,,,
671,11.18333,0.63367,,,
672,11.2,0.63618,,,
673,11.21667,0.63461,,,
674,11.23333,0.63284,,,
675,11.25,0.63532,,,
676,11.26667,0.63296,,,
677,11.28333,0.63334,,,
678,11.3,0.63131,,,
679,11.31667,0.63214,,,
680,11.33333,0.63117,,,
681,11.35,0.63114,,,
