Time(min),Time(h),Normalized PCE
1,0.01667,0.89186
2,0.03333,1
3,0.05,0.9766
4,0.06667,0.54073
5,0.08333,0.9766
6,0.1,0.99455
7,0.11667,0.99506
8,0.13333,0.99768
9,0.15,0.99079
10,0.16667,0.9824
11,0.18333,0.98253
12,0.2,0.98412
13,0.21667,0.97943
14,0.23333,0.97737
15,0.25,0.97472
16,0.26667,0.97577
17,0.28333,0.9753
18,0.3,0.97737
19,0.31667,0.96846
20,0.33333,0.96742
21,0.35,0.96637
22,0.36667,0.97008
23,0.38333,0.97013
24,0.4,0.96742
25,0.41667,0.9695
26,0.43333,0.96393
27,0.45,0.96229
28,0.46667,0.9515
29,0.48333,0.96187
30,0.5,0.95923
31,0.51667,0.96025
32,0.53333,0.96187
33,0.55,0.95567
34,0.56667,0.88269
35,0.58333,0.88286
36,0.6,0.69728
37,0.61667,0.7187
38,0.63333,-0.03568
39,0.65,0.23845
40,0.66667,0.71362
41,0.68333,0.88489
42,0.7,0.82886
43,0.71667,0.86835
44,0.73333,0.85621
45,0.75,0.86854
46,0.76667,0.84391
47,0.78333,0.78477
48,0.8,0.84676
49,0.81667,0.88189
50,0.83333,0.84549
51,0.85,0.85243
52,0.86667,0.82331
53,0.88333,0.8158
54,0.9,0.83272
55,0.91667,0.8723
56,0.93333,0.89113
57,0.95,0.8108
58,0.96667,0.85786
59,0.98333,0.89014
60,1,0.87095
61,1.01667,0.84515
62,1.03333,0.87975
63,1.05,0.86088
64,1.06667,0.81777
65,1.08333,0.88073
66,1.1,0.81449
67,1.11667,0.87926
68,1.13333,0.79284
69,1.15,0.73241
70,1.16667,0.80646
71,1.18333,0.79744
72,1.2,0.68471
73,1.21667,0.81777
74,1.23333,0.71061
75,1.25,0.77383
76,1.26667,0.87036
77,1.28333,0.819
78,1.3,0.74823
79,1.31667,0.85095
80,1.33333,0.7748
81,1.35,0.72214
82,1.36667,0.69469
83,1.38333,-0.05905
84,1.4,0.74742
85,1.41667,-0.05221
86,1.43333,0.62606
87,1.45,0.57507
88,1.46667,0.68689
89,1.48333,0.54115
90,1.5,0.70487
91,1.51667,0.67279
92,1.53333,0.76797
93,1.55,0.83729
94,1.56667,0.74488
95,1.58333,0.82878
96,1.6,0.84558
97,1.61667,0.84271
98,1.63333,0.84031
99,1.65,0.81954
100,1.66667,0.77905
101,1.68333,0.80391
102,1.7,0.76939
103,1.71667,0.78033
104,1.73333,0.78021
105,1.75,0.77841
106,1.76667,0.77385
107,1.78333,0.8007
108,1.8,0.80945
109,1.81667,0.80761
110,1.83333,0.81053
111,1.85,0.80761
112,1.86667,0.80238
113,1.88333,0.7934
114,1.9,0.79559
115,1.91667,0.7816
116,1.93333,0.78705
117,1.95,0.78934
118,1.96667,0.79123
119,1.98333,0.79559
120,2,0.79744
121,2.01667,0.79519
122,2.03333,0.80178
123,2.05,0.80245
124,2.06667,0.79594
125,2.08333,0.77866
126,2.1,0.77706
127,2.11667,0.77131
128,2.13333,0.76892
129,2.15,0.76889
130,2.16667,0.75907
131,2.18333,0.78325
132,2.2,0.81027
133,2.21667,0.82104
134,2.23333,0.821
135,2.25,0.82784
136,2.26667,0.82789
137,2.28333,0.82758
138,2.3,0.82784
139,2.31667,0.83271
140,2.33333,0.83378
141,2.35,0.83182
142,2.36667,0.83766
143,2.38333,0.83435
144,2.4,0.83477
145,2.41667,0.83271
146,2.43333,0.82985
147,2.45,0.82201
148,2.46667,0.70043
149,2.48333,0.79862
150,2.5,0.7759
151,2.51667,0.79386
152,2.53333,0.76244
153,2.55,0.74293
154,2.56667,0.8259
155,2.58333,0.82395
156,2.6,0.82006
157,2.61667,0.81617
158,2.63333,0.81617
159,2.65,0.82298
160,2.66667,0.82104
161,2.68333,0.8188
162,2.7,0.81908
163,2.71667,0.81806
164,2.73333,0.80931
165,2.75,0.8152
166,2.76667,0.80067
167,2.78333,0.76914
168,2.8,0.75662
169,2.81667,0.70593
170,2.83333,0.77668
171,2.85,0.75387
172,2.86667,0.74377
173,2.88333,0.79874
174,2.9,0.73258
175,2.91667,0.79078
176,2.93333,0.80835
177,2.95,0.81412
178,2.96667,0.81019
179,2.98333,0.81131
180,3,0.81033
181,3.01667,0.80787
182,3.03333,0.80625
183,3.05,0.77485
184,3.06667,0.7124
185,3.08333,0.78911
186,3.1,0.80352
187,3.11667,0.80981
188,3.13333,0.80356
189,3.15,0.77675
190,3.16667,0.78531
191,3.18333,0.75164
192,3.2,0.77823
193,3.21667,0.78432
194,3.23333,0.78044
195,3.25,0.78626
196,3.26667,0.75869
197,3.28333,0.78336
198,3.3,0.79682
199,3.31667,0.79446
200,3.33333,0.79778
201,3.35,0.76534
202,3.36667,0.72415
203,3.38333,0.78719
204,3.4,0.78926
205,3.41667,0.7907
206,3.43333,0.7919
207,3.45,0.78561
208,3.46667,0.78699
209,3.48333,0.78504
210,3.5,0.78407
211,3.51667,0.78954
212,3.53333,0.79544
213,3.55,0.78757
214,3.56667,0.78991
215,3.58333,0.79088
216,3.6,0.78991
217,3.61667,0.79052
218,3.63333,0.7915
219,3.65,0.78719
220,3.66667,0.78529
221,3.68333,0.78659
222,3.7,0.78513
223,3.71667,0.78561
224,3.73333,0.78309
225,3.75,0.78407
226,3.76667,0.78407
227,3.78333,0.78659
228,3.8,0.78168
229,3.81667,0.78266
230,3.83333,0.78213
231,3.85,0.78168
232,3.86667,0.78593
233,3.88333,0.78018
234,3.9,0.77759
235,3.91667,0.78069
236,3.93333,0.77629
237,3.95,0.77676
238,3.96667,0.77823
239,3.98333,0.77531
240,4,0.77531
241,4.01667,0.76987
