Time(min),Time(h),Normalized PCE
275,4.58333,0.62611
276,4.6,0.62763
277,4.61667,0.62813
278,4.63333,0.62647
279,4.65,0.62494
280,4.66667,0.62285
281,4.68333,0.62354
282,4.7,0.62518
283,4.71667,0.62527
284,4.73333,0.62611
285,4.75,0.62223
286,4.76667,0.62436
287,4.78333,0.62482
288,4.8,0.62482
289,4.81667,0.62647
290,4.83333,0.62399
291,4.85,0.62647
292,4.86667,0.62564
293,4.88333,0.62425
294,4.9,0.62109
295,4.91667,0.62276
296,4.93333,0.62068
297,4.95,0.6219
298,4.96667,0.62179
299,4.98333,0.62026
300,5,0.6218
301,5.01667,0.62316
302,5.03333,0.62399
303,5.05,0.6219
304,5.06667,0.62233
305,5.08333,0.62444
306,5.1,0.62109
307,5.11667,0.61885
308,5.13333,0.62027
309,5.15,0.62083
310,5.16667,0.61967
311,5.18333,0.62049
312,5.2,0.62296
313,5.21667,0.62132
314,5.23333,0.62132
315,5.25,0.6218
316,5.26667,0.61917
317,5.28333,0.61902
318,5.3,0.61863
319,5.31667,0.62214
320,5.33333,0.61985
321,5.35,0.61908
322,5.36667,0.61967
323,5.38333,0.61691
324,5.4,0.62083
325,5.41667,0.61902
326,5.43333,0.62027
327,5.45,0.61781
328,5.46667,0.61945
329,5.48333,0.61985
330,5.5,0.62068
331,5.51667,0.6182
332,5.53333,0.61737
333,5.55,0.6182
334,5.56667,0.61737
335,5.58333,0.61863
336,5.6,0.61699
337,5.61667,0.6188
338,5.63333,0.61482
339,5.65,0.61637
340,5.66667,0.61699
341,5.68333,0.6172
342,5.7,0.61475
343,5.71667,0.61556
344,5.73333,0.61699
345,5.75,0.61654
346,5.76667,0.61618
347,5.78333,0.61391
348,5.8,0.61827
349,5.81667,0.61454
350,5.83333,0.61667
351,5.85,0.61515
352,5.86667,0.61667
353,5.88333,0.61613
354,5.9,0.6142
355,5.91667,0.61391
356,5.93333,0.61802
357,5.95,0.61391
358,5.96667,0.61309
359,5.98333,0.61406
360,6,0.61273
361,6.01667,0.61391
362,6.03333,0.61391
363,6.05,0.61394
364,6.06667,0.61489
365,6.08333,0.61489
366,6.1,0.61529
367,6.11667,0.6124
368,6.13333,0.61323
369,6.15,0.61062
370,6.16667,0.61144
371,6.18333,0.61175
372,6.2,0.61251
373,6.21667,0.61075
374,6.23333,0.61127
375,6.25,0.61489
376,6.26667,0.61062
377,6.28333,0.61357
378,6.3,0.61273
379,6.31667,0.60897
380,6.33333,0.6129
381,6.35,0.60788
382,6.36667,0.60855
383,6.38333,0.60908
384,6.4,0.60909
385,6.41667,0.61158
386,6.43333,0.6095
387,6.45,0.61323
388,6.46667,0.6095
389,6.48333,0.60992
390,6.5,0.60992
391,6.51667,0.60786
392,6.53333,0.61189
393,6.55,0.61075
394,6.56667,0.60909
395,6.58333,0.6095
396,6.6,0.60827
397,6.61667,0.60827
398,6.63333,0.60868
399,6.65,0.61075
400,6.66667,0.60992
401,6.68333,0.61075
402,6.7,0.60744
403,6.71667,0.60989
404,6.73333,0.60744
405,6.75,0.60605
406,6.76667,0.60827
407,6.78333,0.60437
408,6.8,0.60751
409,6.81667,0.60636
410,6.83333,0.60827
411,6.85,0.60709
412,6.86667,0.60636
413,6.88333,0.60496
414,6.9,0.60472
415,6.91667,0.6065
416,6.93333,0.60661
417,6.95,0.60496
418,6.96667,0.60434
419,6.98333,0.60584
420,7,0.60308
421,7.01667,0.6039
422,7.03333,0.60521
423,7.05,0.6033
424,7.06667,0.60496
425,7.08333,0.60605
426,7.1,0.60578
427,7.11667,0.60578
428,7.13333,0.60413
429,7.15,0.60413
430,7.16667,0.60308
431,7.18333,0.60082
432,7.2,0.60247
433,7.21667,0.60247
434,7.23333,0.60103
435,7.25,0.60186
436,7.26667,0.60145
437,7.28333,0.60413
438,7.3,0.60165
439,7.31667,0.60472
440,7.33333,0.60263
441,7.35,0.59936
442,7.36667,0.60063
443,7.38333,0.59916
444,7.4,0.60422
445,7.41667,0.60239
446,7.43333,0.60017
447,7.45,0.60179
448,7.46667,0.60049
449,7.48333,0.60226
450,7.5,0.60017
451,7.51667,0.60247
452,7.53333,0.60247
453,7.55,0.59981
454,7.56667,0.60247
455,7.58333,0.59981
456,7.6,0.59899
457,7.61667,0.59899
458,7.63333,0.59855
459,7.65,0.59999
460,7.66667,0.59999
461,7.68333,0.59834
462,7.7,0.5984
463,7.71667,0.59999
464,7.73333,0.59834
465,7.75,0.60131
466,7.76667,0.59735
467,7.78333,0.59981
468,7.8,0.59899
469,7.81667,0.59953
470,7.83333,0.59899
471,7.85,0.59693
472,7.86667,0.59585
473,7.88333,0.5949
474,7.9,0.59916
475,7.91667,0.59572
476,7.93333,0.59751
477,7.95,0.59558
478,7.96667,0.59369
479,7.98333,0.59572
480,8,0.59518
481,8.01667,0.59585
482,8.03333,0.59585
483,8.05,0.59585
484,8.06667,0.59654
485,8.08333,0.59503
486,8.1,0.59503
487,8.11667,0.59351
488,8.13333,0.59408
489,8.15,0.59503
490,8.16667,0.5949
491,8.18333,0.59245
492,8.2,0.5942
493,8.21667,0.59408
494,8.23333,0.59163
495,8.25,0.59434
496,8.26667,0.59207
497,8.28333,0.59251
498,8.3,0.59337
499,8.31667,0.59126
500,8.33333,0.59254
501,8.35,0.59354
502,8.36667,0.59126
503,8.38333,0.59207
504,8.4,0.59337
505,8.41667,0.59006
506,8.43333,0.59337
507,8.45,0.59081
508,8.46667,0.59172
509,8.48333,0.59337
510,8.5,0.59172
511,8.51667,0.59081
512,8.53333,0.59267
513,8.55,0.59089
514,8.56667,0.58923
515,8.58333,0.59126
516,8.6,0.58923
517,8.61667,0.59066
518,8.63333,0.591
519,8.65,0.58765
520,8.66667,0.58917
521,8.68333,0.58757
522,8.7,0.58938
523,8.71667,0.58757
524,8.73333,0.58841
525,8.75,0.58835
526,8.76667,0.58841
527,8.78333,0.58894
528,8.8,0.58593
529,8.81667,0.58758
530,8.83333,0.58917
531,8.85,0.59089
532,8.86667,0.5864
533,8.88333,0.58675
534,8.9,0.59006
535,8.91667,0.58802
536,8.93333,0.58503
537,8.95,0.58922
538,8.96667,0.5859
539,8.98333,0.5859
540,9,0.58508
541,9.01667,0.58656
542,9.03333,0.58802
543,9.05,0.58478
544,9.06667,0.58344
545,9.08333,0.58682
546,9.1,0.58758
547,9.11667,0.58656
548,9.13333,0.58263
549,9.15,0.58344
550,9.16667,0.58592
551,9.18333,0.58426
552,9.2,0.58515
553,9.21667,0.5818
554,9.23333,0.58263
555,9.25,0.58179
556,9.26667,0.58593
557,9.28333,0.58116
558,9.3,0.58264
559,9.31667,0.58182
560,9.33333,0.58182
561,9.35,0.58264
562,9.36667,0.58344
563,9.38333,0.58261
564,9.4,0.58428
565,9.41667,0.58255
566,9.43333,0.58161
567,9.45,0.58243
568,9.46667,0.58107
569,9.48333,0.58017
570,9.5,0.58017
571,9.51667,0.58182
572,9.53333,0.58182
573,9.55,0.57851
574,9.56667,0.58182
575,9.58333,0.57917
576,9.6,0.57998
577,9.61667,0.57917
578,9.63333,0.57917
579,9.65,0.57935
580,9.66667,0.58024
581,9.68333,0.57836
582,9.7,0.57917
583,9.71667,0.57922
584,9.73333,0.58182
585,9.75,0.57821
586,9.76667,0.5777
587,9.78333,0.57605
588,9.8,0.5808
589,9.81667,0.58017
590,9.83333,0.5766
591,9.85,0.5777
592,9.86667,0.57605
593,9.88333,0.58017
594,9.9,0.57646
595,9.91667,0.57688
596,9.93333,0.57852
597,9.95,0.57605
598,9.96667,0.57774
599,9.98333,0.57523
600,10,0.57605
601,10.01667,0.57525
602,10.03333,0.57605
603,10.05,0.57523
604,10.06667,0.57579
605,10.08333,0.57441
606,10.1,0.57525
607,10.11667,0.57338
608,10.13333,0.57441
609,10.15,0.57428
610,10.16667,0.57338
611,10.18333,0.57358
612,10.2,0.57428
613,10.21667,0.57265
614,10.23333,0.57347
615,10.25,0.57442
616,10.26667,0.57276
617,10.28333,0.57276
618,10.3,0.57358
619,10.31667,0.57276
620,10.33333,0.57194
621,10.35,0.57265
622,10.36667,0.57194
623,10.38333,0.57423
624,10.4,0.57256
625,10.41667,0.57339
626,10.43333,0.57194
627,10.45,0.57177
628,10.46667,0.57029
629,10.48333,0.57102
630,10.5,0.57016
631,10.51667,0.57184
632,10.53333,0.57102
633,10.55,0.57021
634,10.56667,0.56939
635,10.58333,0.57265
636,10.6,0.57265
637,10.61667,0.56939
638,10.63333,0.57016
639,10.65,0.57194
640,10.66667,0.57029
641,10.68333,0.57029
642,10.7,0.57112
643,10.71667,0.56865
644,10.73333,0.5684
645,10.75,0.56865
646,10.76667,0.56783
647,10.78333,0.56678
648,10.8,0.56777
649,10.81667,0.57021
650,10.83333,0.56839
651,10.85,0.56757
652,10.86667,0.567
653,10.88333,0.57029
654,10.9,0.56695
655,10.91667,0.56695
656,10.93333,0.56777
657,10.95,0.56451
658,10.96667,0.56693
659,10.98333,0.56858
660,11,0.56527
661,11.01667,0.56777
662,11.03333,0.56535
663,11.05,0.56535
664,11.06667,0.56532
665,11.08333,0.56453
666,11.1,0.56444
667,11.11667,0.56452
668,11.13333,0.56695
669,11.15,0.56369
670,11.16667,0.56777
671,11.18333,0.567
672,11.2,0.56369
673,11.21667,0.56371
674,11.23333,0.56278
675,11.25,0.56291
676,11.26667,0.56341
677,11.28333,0.56289
678,11.3,0.56451
679,11.31667,0.56206
680,11.33333,0.56361
681,11.35,0.56206
682,11.36667,0.56289
683,11.38333,0.56288
684,11.4,0.56206
685,11.41667,0.56174
686,11.43333,0.56206
687,11.45,0.56195
688,11.46667,0.5621
689,11.48333,0.56451
690,11.5,0.55945
691,11.51667,0.56112
692,11.53333,0.56125
693,11.55,0.55877
694,11.56667,0.56206
695,11.58333,0.56042
696,11.6,0.56124
697,11.61667,0.5596
698,11.63333,0.55877
699,11.65,0.55888
700,11.66667,0.55713
701,11.68333,0.55808
702,11.7,0.55877
703,11.71667,0.55795
704,11.73333,0.55881
705,11.75,0.55799
706,11.76667,0.55779
707,11.78333,0.56042
708,11.8,0.55877
709,11.81667,0.55795
710,11.83333,0.55877
711,11.85,0.5563
712,11.86667,0.55758
713,11.88333,0.55799
714,11.9,0.55881
715,11.91667,0.5563
716,11.93333,0.55862
717,11.95,0.55548
718,11.96667,0.5563
719,11.98333,0.55718
720,12,0.55711
721,12.01667,0.55548
722,12.03333,0.5553
723,12.05,0.55573
724,12.06667,0.55711
725,12.08333,0.55555
726,12.1,0.55713
727,12.11667,0.55466
728,12.13333,0.55636
729,12.15,0.55548
730,12.16667,0.55555
731,12.18333,0.55466
732,12.2,0.55392
733,12.21667,0.55384
734,12.23333,0.55636
735,12.25,0.55384
736,12.26667,0.55384
737,12.28333,0.55384
738,12.3,0.55392
739,12.31667,0.55308
740,12.33333,0.55466
741,12.35,0.55392
742,12.36667,0.5531
743,12.38333,0.5563
744,12.4,0.55466
745,12.41667,0.55392
746,12.43333,0.55147
747,12.45,0.55555
748,12.46667,0.55137
749,12.48333,0.55227
750,12.5,0.55031
751,12.51667,0.55229
752,12.53333,0.55219
753,12.55,0.55066
754,12.56667,0.55384
755,12.58333,0.55055
756,12.6,0.55137
757,12.61667,0.55229
758,12.63333,0.5531
759,12.65,0.54984
760,12.66667,0.54984
761,12.68333,0.55229
762,12.7,0.54984
763,12.71667,0.54984
764,12.73333,0.55002
765,12.75,0.54984
766,12.76667,0.55055
767,12.78333,0.55002
768,12.8,0.54822
769,12.81667,0.54807
770,12.83333,0.54761
771,12.85,0.54822
772,12.86667,0.55163
773,12.88333,0.54905
774,12.9,0.55147
775,12.91667,0.54751
776,12.93333,0.54841
777,12.95,0.54822
778,12.96667,0.54984
779,12.98333,0.5468
780,13,0.54663
781,13.01667,0.54822
782,13.03333,0.5474
783,13.05,0.54659
784,13.06667,0.54592
785,13.08333,0.54659
786,13.1,0.54496
787,13.11667,0.54496
788,13.13333,0.54501
789,13.15,0.54496
790,13.16667,0.54358
791,13.18333,0.54615
792,13.2,0.54358
793,13.21667,0.54509
794,13.23333,0.54501
795,13.25,0.54577
796,13.26667,0.54659
797,13.28333,0.54358
798,13.3,0.54496
799,13.31667,0.54414
800,13.33333,0.54278
801,13.35,0.54372
802,13.36667,0.54414
803,13.38333,0.54496
804,13.4,0.54417
805,13.41667,0.54414
806,13.43333,0.54333
807,13.45,0.54347
808,13.46667,0.54266
809,13.48333,0.54509
810,13.5,0.54266
811,13.51667,0.54206
812,13.53333,0.54251
813,13.55,0.54117
814,13.56667,0.53874
815,13.58333,0.54233
816,13.6,0.54023
817,13.61667,0.54089
818,13.63333,0.54008
819,13.65,0.54069
820,13.66667,0.53955
821,13.68333,0.54023
822,13.7,0.54007
823,13.71667,0.53942
824,13.73333,0.54171
825,13.75,0.53947
826,13.76667,0.54185
827,13.78333,0.54105
828,13.8,0.53926
829,13.81667,0.54233
830,13.83333,0.5404
831,13.85,0.54253
832,13.86667,0.53844
833,13.88333,0.54105
834,13.9,0.53844
835,13.91667,0.5378
836,13.93333,0.53862
837,13.95,0.5368
838,13.96667,0.54023
839,13.98333,0.53862
840,14,0.53762
841,14.01667,0.53762
842,14.03333,0.53707
843,14.05,0.5378
844,14.06667,0.53787
845,14.08333,0.53942
846,14.1,0.53699
847,14.11667,0.53627
848,14.13333,0.53627
849,14.15,0.53547
850,14.16667,0.5368
851,14.18333,0.53598
852,14.2,0.53547
853,14.21667,0.53472
854,14.23333,0.53517
855,14.25,0.53762
856,14.26667,0.53518
857,14.28333,0.53396
858,14.3,0.53375
859,14.31667,0.53453
860,14.33333,0.53386
861,14.35,0.53476
862,14.36667,0.53375
863,14.38333,0.53353
864,14.4,0.53392
865,14.41667,0.53627
866,14.43333,0.53386
867,14.45,0.53537
868,14.46667,0.53353
869,14.48333,0.53306
870,14.5,0.53295
871,14.51667,0.53164
872,14.53333,0.53226
873,14.55,0.53213
874,14.56667,0.53295
875,14.58333,0.53306
876,14.6,0.53107
877,14.61667,0.53052
878,14.63333,0.53386
879,14.65,0.53271
880,14.66667,0.53132
881,14.68333,0.53296
882,14.7,0.53146
883,14.71667,0.53066
884,14.73333,0.53029
885,14.75,0.53111
886,14.76667,0.53066
887,14.78333,0.53111
888,14.8,0.52989
889,14.81667,0.52909
890,14.83333,0.53086
891,14.85,0.53274
892,14.86667,0.53111
893,14.88333,0.53029
894,14.9,0.52809
895,14.91667,0.52825
896,14.93333,0.52862
897,14.95,0.52889
898,14.96667,0.52862
899,14.98333,0.52915
900,15,0.5284
901,15.01667,0.5297
902,15.03333,0.52617
903,15.05,0.52905
904,15.06667,0.52889
905,15.08333,0.52689
906,15.1,0.52847
907,15.11667,0.52889
908,15.13333,0.52809
909,15.15,0.52665
910,15.16667,0.5261
911,15.18333,0.52585
912,15.2,0.52451
913,15.21667,0.53052
914,15.23333,0.52585
915,15.25,0.52727
916,15.26667,0.52862
917,15.28333,0.52566
918,15.3,0.52698
919,15.31667,0.52566
920,15.33333,0.52372
921,15.35,0.52646
922,15.36667,0.52585
923,15.38333,0.52585
924,15.4,0.52534
925,15.41667,0.52585
926,15.43333,0.52485
927,15.45,0.52566
928,15.46667,0.52485
929,15.48333,0.52665
930,15.5,0.52646
931,15.51667,0.52485
932,15.53333,0.52453
933,15.55,0.52485
934,15.56667,0.52403
935,15.58333,0.52485
936,15.6,0.52344
937,15.61667,0.52284
938,15.63333,0.52242
939,15.65,0.52403
940,15.66667,0.52264
941,15.68333,0.52289
942,15.7,0.52616
943,15.71667,0.52184
944,15.73333,0.52409
945,15.75,0.5208
946,15.76667,0.52184
947,15.78333,0.52184
948,15.8,0.52207
949,15.81667,0.52424
950,15.83333,0.52424
951,15.85,0.52184
952,15.86667,0.52044
953,15.88333,0.52024
954,15.9,0.52184
955,15.91667,0.52214
956,15.93333,0.5216
957,15.95,0.5208
958,15.96667,0.52044
959,15.98333,0.52116
960,16,0.52055
961,16.01667,0.51882
962,16.03333,0.52054
963,16.05,0.51818
964,16.06667,0.52024
965,16.08333,0.51999
966,16.1,0.52024
967,16.11667,0.5188
968,16.13333,0.52184
969,16.15,0.52021
970,16.16667,0.51889
971,16.18333,0.51863
972,16.2,0.5208
973,16.21667,0.52135
974,16.23333,0.5208
975,16.25,0.52264
976,16.26667,0.51818
977,16.28333,0.51836
978,16.3,0.51999
979,16.31667,0.51703
980,16.33333,0.51756
981,16.35,0.51723
982,16.36667,0.51897
983,16.38333,0.51703
984,16.4,0.5188
